# File: wedding_vendor_tracker.csv
# Created By: Ryan Zimmerman
# Created Date: 2025-11-22
# Last Modified By: Ryan Zimmerman
# Last Modified Date: 2025-11-22
# Description: Vendor contact log with quotes, contracts, and decision tracking
# Vendors Contacted: 0 | Vendors Booked: 0 | Contracts Signed: 0
#
Vendor_Category,Vendor_Name,Contact_Person,Email,Phone,Website,Address,Quote_Amount,Contract_Status,Deposit_Amount,Deposit_Due_Date,Final_Payment_Due,Services_Included,Meeting_Date,Follow_Up_Date,Rating,Pros,Cons,Decision_Status,Notes
Venue,,,,,,,,Not Contacted,,,,,,,,,,,
Venue,Venue Candidate #1 (TBD),,,,,,,Researching,,,,,,,,,,"Placeholder to capture capacity/price/availability; added by gpt-5-codex-high on 2025-11-22 09:41:46 UTC"
Venue,Venue Candidate #2 (TBD),,,,,,,Researching,,,,,,,,,,"Placeholder to capture capacity/price/availability; added by gpt-5-codex-high on 2025-11-22 09:41:46 UTC"
Catering,,,,,,,,Not Contacted,,,,,,,,,,,
Photography,,,,,,,,Not Contacted,,,,,,,,,Need photographer,HIGH PRIORITY - Need to research and contact,,Photographer needed
Videography,,,,,,,,Not Contacted,,,,,,,,,,,
Florist,Beth,,,,+1 (512) 775-2328,,TBD,Not Contacted,,,,Flowers with discount offered,,,,Offered discount; knows Jordyn,Need to confirm availability and pricing,Researching,Contact from Jordyn - discount offered; follow up needed
DJ/Band,,,,,,,,Not Contacted,,,,,,,,,,,
Hair & Makeup,,,,,,,,Not Contacted,,,,,,,,,,,
Wedding Planner,,,,,,,,Not Contacted,,,,,,,,,,,
Transportation,,,,,,,,Not Contacted,,,,,,,,,,,
Bakery/Cake,,,,,,,,Not Contacted,,,,,,,,,,,
Officiant,,,,,,,,Not Contacted,,,,,,,,,,,
Ceremony Musicians,TBD - Singer Jordyn Saw,,,,,,TBD,Not Contacted,,,,Singing performance,,,,Best singer; impressed Jordyn,Need to get contact info,Researching,Jordyn saw this person singing - need to identify and contact
Invitations/Stationery,,,,,,,,Not Contacted,,,,,,,,,,,
Rentals,,,,,,,,Not Contacted,,,,,,,,,,,
Restaurant / Rehearsal Dinner,Isabella's Kitchen,,, (480) 502-3100,,Scottsdale, AZ,$20-30,Not Contacted,,,,Food & drinks only; no large private venue; patio with views; American,,,"4.5 (1.4K)",Patio views; Scottsdale location; moderate price,No large private venue; travel time to venue TBD,Researching,"Added by gpt-5-codex-high on 2025-11-22 09:23:22 UTC; travel time to chosen venue TBD; opens 11 AM; pay food/drinks"
