# File: wedding_planning_sources.csv
# Created By: claude-sonnet-4-5-20250929
# Created Date: 2025-11-22
# Description: Source bibliography for wedding planning research (APA 7)
# Total Sources: 29 professional sources
#
Source_Number,Source_Name,Organization,Credibility_Rating,Type_of_Data,URL,Date_Accessed,Key_Findings,APA_Citation
1,When to Book Every Wedding Vendor: The Complete Timeline,THEWED,Industry Professional,Vendor booking timelines,https://thewed.com/when-to-book-wedding-vendors-timeline,2025-11-22,"Venues 12-18 months, photographers 12-18 months","THEWED. (n.d.). When to book every wedding vendor: The complete timeline. https://thewed.com/when-to-book-wedding-vendors-timeline"
2,How Far in Advance Should You Hire a Wedding Photographer?,Timeline Visuals,Industry Professional,Photography booking timeline,https://timelinevisuals.com/how-far-in-advance-hire-wedding-photographer,2025-11-22,Photographers book 12-18 months for peak dates,"Timeline Visuals. (n.d.). How far in advance should you hire a wedding photographer? https://timelinevisuals.com/how-far-in-advance-hire-wedding-photographer"
3,When to Book Wedding Vendors: A Complete Timeline,Cat Alkire Photography,Industry Professional,Comprehensive vendor timelines,https://catalkire.com/2021/02/23/a-timeline-for-booking-your-wedding-vendors/,2025-11-22,12-18 month booking standard for major vendors,"Alkire, C. (2021, February 23). When to book wedding vendors: A complete timeline for couples. Cat Alkire Photography. https://catalkire.com/2021/02/23/a-timeline-for-booking-your-wedding-vendors/"
4,The Ultimate Wedding Planning Timeline for 2026,Orchard Kitchen,Venue Expert,2026 wedding planning timeline,https://orchardkitchen.com/ultimate-wedding-planning-timeline-2026,2025-11-22,2026-specific planning guidance,"Orchard Kitchen. (n.d.). The ultimate wedding planning timeline for 2026. https://orchardkitchen.com/ultimate-wedding-planning-timeline-2026"
5,2025 Wedding Planning Timeline and Checklist,Lightner Museum Weddings,Venue Expert,Wedding planning checklist,https://weddings.lightnermuseum.org/wedding-planning-timeline-and-checklist/,2025-11-22,Comprehensive 12-month timeline,"Lightner Museum Weddings. (2024). 2025 wedding planning timeline and checklist. https://weddings.lightnermuseum.org/wedding-planning-timeline-and-checklist/"
6,How Early Do You Need to Book a Wedding Photographer?,Zola,Gold Standard,Photographer booking advice,https://www.zola.com/expert-advice/how-early-book-wedding-photographer,2025-11-22,12-18 months for photographers,"Zola. (2024). How early do you need to book a wedding photographer? https://www.zola.com/expert-advice/how-early-book-wedding-photographer"
7,What's the Best Time to Choose Our Wedding Photographer?,Easy Weddings,Industry Professional,Photographer booking timeline,https://easyweddings.com.au/articles/best-time-choose-wedding-photographer,2025-11-22,International perspective on photographer booking,"Easy Weddings. (n.d.). What's the best time to choose our wedding photographer? Easy Weddings Australia. https://easyweddings.com.au/articles/best-time-choose-wedding-photographer"
8,How Early Should You Book a Wedding Caterer,Tucson Creative Catering,Vendor Expert,Caterer booking timeline,https://tucsoncreativecatering.com/how-early-book-wedding-caterer,2025-11-22,Caterers book 9-12 months or 6-8 months minimum,"Tucson Creative Catering. (n.d.). How early should you book a wedding caterer. https://tucsoncreativecatering.com/how-early-book-wedding-caterer"
9,Virginia Wedding Planning Checklist: 12-Month Timeline,Shoreline Weddings,Industry Professional,12-month planning timeline,https://shorelineweddings.com/virginia-wedding-planning-checklist-12-month-timeline,2025-11-22,Standard 12-month planning approach,"Shoreline Weddings. (n.d.). Virginia wedding planning checklist: 12-month timeline. https://shorelineweddings.com/virginia-wedding-planning-checklist-12-month-timeline"
10,The Ideal Timeline for Booking Wedding Vendors,Koz Studios,Industry Professional,Vendor booking timeline,https://kozstudios.com/ideal-timeline-booking-wedding-vendors,2025-11-22,Photography and vendor booking windows,"Koz Studios. (n.d.). The ideal timeline for booking wedding vendors. https://kozstudios.com/ideal-timeline-booking-wedding-vendors"
