# File: wedding_budget_tracker.csv
# Created By: Ryan Zimmerman
# Created Date: 2025-11-22
# Last Modified By: Ryan Zimmerman
# Last Modified Date: 2025-11-22
# Description: Budget tracking with estimated vs actual costs, deposits, and payment schedules
# Total Budget: TBD | Total Spent: $0 | Total Deposits: $0
#
Category,Vendor_Name,Item_Description,Estimated_Cost,Actual_Cost,Deposit_Amount,Deposit_Paid_Date,Balance_Due,Final_Payment_Date,Payment_Method,Paid_By,Contract_Signed,Notes,Priority
Venue,,,0,0,0,,,,,,,"Set target once venue shortlist known; add capacity fit and min spend; gpt-5-codex-high 2025-11-22 09:41:46 UTC",High
Catering,,,0,0,0,,,,,,,"Set per-head target aligned to guest count; gpt-5-codex-high 2025-11-22 09:41:46 UTC",High
Photography,,,0,0,0,,,,,,,"Set package target (hours/second shooter); gpt-5-codex-high 2025-11-22 09:41:46 UTC",High
Videography,,,0,0,0,,,,,,,Medium
Florist,,,0,0,0,,,,,,,Medium
DJ/Band,,,0,0,0,,,,,,,High
Wedding Dress,,,0,0,0,,,,,,,High
Groom Attire,,,0,0,0,,,,,,,Medium
Bridesmaid Dresses,,,0,0,0,,,,,,,Low
Groomsmen Attire,,,0,0,0,,,,,,,Low
Invitations,,,0,0,0,,,,,,,Medium
Decorations,,,0,0,0,,,,,,,Low
Wedding Cake,,,0,0,0,,,,,,,Medium
Transportation,,,0,0,0,,,,,,,"Add shuttle block estimate if needed; gpt-5-codex-high 2025-11-22 09:41:46 UTC",Low
Hotel Block,,,0,0,0,,,,,,,"Set room block budget/attrition terms; gpt-5-codex-high 2025-11-22 09:41:46 UTC",Medium
Hair & Makeup,,,0,0,0,,,,,,,Medium
Wedding Planner,,,0,0,0,,,,,,,Medium
Ceremony Musicians,,,0,0,0,,,,,,,Low
Wedding Favors,,,0,0,0,,,,,,,Low
Rehearsal Dinner,,,0,0,0,,,,,,,"Add estimate (e.g., Isabella's or other restaurant); gpt-5-codex-high 2025-11-22 09:41:46 UTC",Medium
Welcome Party,,,0,0,0,,,,,,,"Set estimate per head; gpt-5-codex-high 2025-11-22 09:41:46 UTC",Low
After Party,,,0,0,0,,,,,,,"Add venue/transport budget; gpt-5-codex-high 2025-11-22 09:41:46 UTC",Low
Honeymoon,,,0,0,0,,,,,,,High
Wedding Rings,,,0,0,0,,,,,,,High
Marriage License,,,0,0,0,,,,,,,High
Insurance,,,0,0,0,,,,,,,Medium
Miscellaneous,,,0,0,0,,,,,,,Low
